model,seed,cond,dataset,cell,n_correct,n_total,cs_margin
hgt,44,swap_seq_skip,matrix,Benign/field_query,10,10,
hgt,44,swap_seq_skip,matrix,Benign/header_field,10,10,
hgt,44,swap_seq_skip,matrix,Benign/json_field,10,10,
hgt,44,swap_seq_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,44,swap_seq_skip,matrix,SQLi/comment_splitting,10,10,5.354617595672607
hgt,44,swap_seq_skip,matrix,SQLi/case_mixing,10,10,
hgt,44,swap_seq_skip,matrix,XSS/data_uri_base64,10,10,
hgt,44,swap_seq_skip,matrix,XSS/event_handler_focus,10,10,
hgt,44,swap_seq_skip,matrix,XSS/svg_script_variant,10,10,
hgt,44,swap_seq_skip,test_split,all,4209,4215,
hgt,44,sem_as_seq,matrix,Benign/field_query,10,10,
hgt,44,sem_as_seq,matrix,Benign/header_field,10,10,
hgt,44,sem_as_seq,matrix,Benign/json_field,10,10,
hgt,44,sem_as_seq,matrix,SQLi/sql_new_commands,10,10,
hgt,44,sem_as_seq,matrix,SQLi/comment_splitting,0,10,-2.685110092163086
hgt,44,sem_as_seq,matrix,SQLi/case_mixing,0,10,
hgt,44,sem_as_seq,matrix,XSS/data_uri_base64,10,10,
hgt,44,sem_as_seq,matrix,XSS/event_handler_focus,10,10,
hgt,44,sem_as_seq,matrix,XSS/svg_script_variant,10,10,
hgt,44,sem_as_seq,test_split,all,4209,4215,
hgt,44,sem_as_skip,matrix,Benign/field_query,10,10,
hgt,44,sem_as_skip,matrix,Benign/header_field,10,10,
hgt,44,sem_as_skip,matrix,Benign/json_field,10,10,
hgt,44,sem_as_skip,matrix,SQLi/sql_new_commands,10,10,
hgt,44,sem_as_skip,matrix,SQLi/comment_splitting,0,10,-3.4291675090789795
hgt,44,sem_as_skip,matrix,SQLi/case_mixing,0,10,
hgt,44,sem_as_skip,matrix,XSS/data_uri_base64,10,10,
hgt,44,sem_as_skip,matrix,XSS/event_handler_focus,10,10,
hgt,44,sem_as_skip,matrix,XSS/svg_script_variant,10,10,
hgt,44,sem_as_skip,test_split,all,4209,4215,
hgt,44,random,matrix,Benign/field_query,0,10,
hgt,44,random,matrix,Benign/header_field,0,10,
hgt,44,random,matrix,Benign/json_field,0,10,
hgt,44,random,matrix,SQLi/sql_new_commands,10,10,
hgt,44,random,matrix,SQLi/comment_splitting,10,10,5.381977081298828
hgt,44,random,matrix,SQLi/case_mixing,10,10,
hgt,44,random,matrix,XSS/data_uri_base64,10,10,
hgt,44,random,matrix,XSS/event_handler_focus,10,10,
hgt,44,random,matrix,XSS/svg_script_variant,10,10,
hgt,44,random,test_split,all,2623,4215,
hgt,44,drop_sem,matrix,Benign/field_query,10,10,
hgt,44,drop_sem,matrix,Benign/header_field,10,10,
